sequence_id,status,subject_id,seq_name,num_frames,object_id,extri_path,sensor_data_dir,label_dir
p001__cutter_g3__T02,ok,p001,p001/cutter_g3/T02,126,cutter,/data_usb/WristHOI_NO_Standardization/data1/extri_old.yml,subjects/p001/sensor_data/p001__cutter_g3__T02,subjects/p001/labels/p001__cutter_g3__T02
p001__cutter_g3__T03,ok,p001,p001/cutter_g3/T03,122,cutter,/data_usb/WristHOI_NO_Standardization/data1/extri_old.yml,subjects/p001/sensor_data/p001__cutter_g3__T03,subjects/p001/labels/p001__cutter_g3__T03
p001__cutter_g5__T01,ok,p001,p001/cutter_g5/T01,125,cutter,/data_usb/WristHOI_NO_Standardization/data1/extri_old.yml,subjects/p001/sensor_data/p001__cutter_g5__T01,subjects/p001/labels/p001__cutter_g5__T01
p001__cutter_g5__T02,ok,p001,p001/cutter_g5/T02,130,cutter,/data_usb/WristHOI_NO_Standardization/data1/extri_old.yml,subjects/p001/sensor_data/p001__cutter_g5__T02,subjects/p001/labels/p001__cutter_g5__T02
p001__cutter_g5__T03,ok,p001,p001/cutter_g5/T03,115,cutter,/data_usb/WristHOI_NO_Standardization/data1/extri_old.yml,subjects/p001/sensor_data/p001__cutter_g5__T03,subjects/p001/labels/p001__cutter_g5__T03
p001__HandCream_g2__T01,ok,p001,p001/HandCream_g2/T01,108,HandCream,/data_usb/WristHOI_NO_Standardization/data1/extri_old.yml,subjects/p001/sensor_data/p001__HandCream_g2__T01,subjects/p001/labels/p001__HandCream_g2__T01
p001__HandCream_g2__T02,ok,p001,p001/HandCream_g2/T02,124,HandCream,/data_usb/WristHOI_NO_Standardization/data1/extri_old.yml,subjects/p001/sensor_data/p001__HandCream_g2__T02,subjects/p001/labels/p001__HandCream_g2__T02
p001__HandCream_g2__T03,ok,p001,p001/HandCream_g2/T03,112,HandCream,/data_usb/WristHOI_NO_Standardization/data1/extri_old.yml,subjects/p001/sensor_data/p001__HandCream_g2__T03,subjects/p001/labels/p001__HandCream_g2__T03
p001__HandCream_g3__T01,ok,p001,p001/HandCream_g3/T01,120,HandCream,/data_usb/WristHOI_NO_Standardization/data1/extri_old.yml,subjects/p001/sensor_data/p001__HandCream_g3__T01,subjects/p001/labels/p001__HandCream_g3__T01
p001__HandCream_g3__T02,ok,p001,p001/HandCream_g3/T02,117,HandCream,/data_usb/WristHOI_NO_Standardization/data1/extri_old.yml,subjects/p001/sensor_data/p001__HandCream_g3__T02,subjects/p001/labels/p001__HandCream_g3__T02
p001__HandCream_g3__T03,ok,p001,p001/HandCream_g3/T03,127,HandCream,/data_usb/WristHOI_NO_Standardization/data1/extri_old.yml,subjects/p001/sensor_data/p001__HandCream_g3__T03,subjects/p001/labels/p001__HandCream_g3__T03
p001__HandCream_g5__T01,ok,p001,p001/HandCream_g5/T01,113,HandCream,/data_usb/WristHOI_NO_Standardization/data1/extri_old.yml,subjects/p001/sensor_data/p001__HandCream_g5__T01,subjects/p001/labels/p001__HandCream_g5__T01
p001__HandCream_g5__T02,ok,p001,p001/HandCream_g5/T02,121,HandCream,/data_usb/WristHOI_NO_Standardization/data1/extri_old.yml,subjects/p001/sensor_data/p001__HandCream_g5__T02,subjects/p001/labels/p001__HandCream_g5__T02
p001__HandCream_g5__T03,ok,p001,p001/HandCream_g5/T03,119,HandCream,/data_usb/WristHOI_NO_Standardization/data1/extri_old.yml,subjects/p001/sensor_data/p001__HandCream_g5__T03,subjects/p001/labels/p001__HandCream_g5__T03
p001__Hotmeltgluegun_g2__T01,ok,p001,p001/Hotmeltgluegun_g2/T01,122,Hotmeltgluegun,/data_usb/WristHOI_NO_Standardization/data1/extri_old.yml,subjects/p001/sensor_data/p001__Hotmeltgluegun_g2__T01,subjects/p001/labels/p001__Hotmeltgluegun_g2__T01
p001__Hotmeltgluegun_g2__T02,ok,p001,p001/Hotmeltgluegun_g2/T02,116,Hotmeltgluegun,/data_usb/WristHOI_NO_Standardization/data1/extri_old.yml,subjects/p001/sensor_data/p001__Hotmeltgluegun_g2__T02,subjects/p001/labels/p001__Hotmeltgluegun_g2__T02
p001__Hotmeltgluegun_g2__T03,ok,p001,p001/Hotmeltgluegun_g2/T03,116,Hotmeltgluegun,/data_usb/WristHOI_NO_Standardization/data1/extri_old.yml,subjects/p001/sensor_data/p001__Hotmeltgluegun_g2__T03,subjects/p001/labels/p001__Hotmeltgluegun_g2__T03
p001__Hotmeltgluegun_g3__T01,ok,p001,p001/Hotmeltgluegun_g3/T01,131,Hotmeltgluegun,/data_usb/WristHOI_NO_Standardization/data1/extri_old.yml,subjects/p001/sensor_data/p001__Hotmeltgluegun_g3__T01,subjects/p001/labels/p001__Hotmeltgluegun_g3__T01
p001__Hotmeltgluegun_g3__T02,ok,p001,p001/Hotmeltgluegun_g3/T02,118,Hotmeltgluegun,/data_usb/WristHOI_NO_Standardization/data1/extri_old.yml,subjects/p001/sensor_data/p001__Hotmeltgluegun_g3__T02,subjects/p001/labels/p001__Hotmeltgluegun_g3__T02
p001__Hotmeltgluegun_g3__T03,ok,p001,p001/Hotmeltgluegun_g3/T03,122,Hotmeltgluegun,/data_usb/WristHOI_NO_Standardization/data1/extri_old.yml,subjects/p001/sensor_data/p001__Hotmeltgluegun_g3__T03,subjects/p001/labels/p001__Hotmeltgluegun_g3__T03
p001__Hotmeltgluegun_g5__T01,ok,p001,p001/Hotmeltgluegun_g5/T01,122,Hotmeltgluegun,/data_usb/WristHOI_NO_Standardization/data1/extri_old.yml,subjects/p001/sensor_data/p001__Hotmeltgluegun_g5__T01,subjects/p001/labels/p001__Hotmeltgluegun_g5__T01
p001__Hotmeltgluegun_g5__T02,ok,p001,p001/Hotmeltgluegun_g5/T02,114,Hotmeltgluegun,/data_usb/WristHOI_NO_Standardization/data1/extri_old.yml,subjects/p001/sensor_data/p001__Hotmeltgluegun_g5__T02,subjects/p001/labels/p001__Hotmeltgluegun_g5__T02
p001__Hotmeltgluegun_g5__T03,ok,p001,p001/Hotmeltgluegun_g5/T03,116,Hotmeltgluegun,/data_usb/WristHOI_NO_Standardization/data1/extri_old.yml,subjects/p001/sensor_data/p001__Hotmeltgluegun_g5__T03,subjects/p001/labels/p001__Hotmeltgluegun_g5__T03
p001__plate_g2__T01,ok,p001,p001/plate_g2/T01,160,plate,/data_usb/WristHOI_NO_Standardization/data1/extri_old.yml,subjects/p001/sensor_data/p001__plate_g2__T01,subjects/p001/labels/p001__plate_g2__T01
p001__plate_g2__T02,ok,p001,p001/plate_g2/T02,117,plate,/data_usb/WristHOI_NO_Standardization/data1/extri_old.yml,subjects/p001/sensor_data/p001__plate_g2__T02,subjects/p001/labels/p001__plate_g2__T02
p001__plate_g2__T03,ok,p001,p001/plate_g2/T03,120,plate,/data_usb/WristHOI_NO_Standardization/data1/extri_old.yml,subjects/p001/sensor_data/p001__plate_g2__T03,subjects/p001/labels/p001__plate_g2__T03
p001__plate_g3__T01,ok,p001,p001/plate_g3/T01,136,plate,/data_usb/WristHOI_NO_Standardization/data1/extri_old.yml,subjects/p001/sensor_data/p001__plate_g3__T01,subjects/p001/labels/p001__plate_g3__T01
p001__plate_g3__T02,ok,p001,p001/plate_g3/T02,134,plate,/data_usb/WristHOI_NO_Standardization/data1/extri_old.yml,subjects/p001/sensor_data/p001__plate_g3__T02,subjects/p001/labels/p001__plate_g3__T02
p001__plate_g3__T03,ok,p001,p001/plate_g3/T03,121,plate,/data_usb/WristHOI_NO_Standardization/data1/extri_old.yml,subjects/p001/sensor_data/p001__plate_g3__T03,subjects/p001/labels/p001__plate_g3__T03
p001__plate_g5__T01,ok,p001,p001/plate_g5/T01,127,plate,/data_usb/WristHOI_NO_Standardization/data1/extri_old.yml,subjects/p001/sensor_data/p001__plate_g5__T01,subjects/p001/labels/p001__plate_g5__T01
p001__plate_g5__T02,ok,p001,p001/plate_g5/T02,117,plate,/data_usb/WristHOI_NO_Standardization/data1/extri_old.yml,subjects/p001/sensor_data/p001__plate_g5__T02,subjects/p001/labels/p001__plate_g5__T02
p001__plate_g5__T03,ok,p001,p001/plate_g5/T03,119,plate,/data_usb/WristHOI_NO_Standardization/data1/extri_old.yml,subjects/p001/sensor_data/p001__plate_g5__T03,subjects/p001/labels/p001__plate_g5__T03
p001__Pliers_g2__T01,ok,p001,p001/Pliers_g2/T01,133,Pliers,/data_usb/WristHOI_NO_Standardization/data1/extri_old.yml,subjects/p001/sensor_data/p001__Pliers_g2__T01,subjects/p001/labels/p001__Pliers_g2__T01
p001__Pliers_g2__T02,ok,p001,p001/Pliers_g2/T02,183,Pliers,/data_usb/WristHOI_NO_Standardization/data1/extri_old.yml,subjects/p001/sensor_data/p001__Pliers_g2__T02,subjects/p001/labels/p001__Pliers_g2__T02
p001__Pliers_g2__T03,ok,p001,p001/Pliers_g2/T03,170,Pliers,/data_usb/WristHOI_NO_Standardization/data1/extri_old.yml,subjects/p001/sensor_data/p001__Pliers_g2__T03,subjects/p001/labels/p001__Pliers_g2__T03
p001__Pliers_g3__T01,ok,p001,p001/Pliers_g3/T01,134,Pliers,/data_usb/WristHOI_NO_Standardization/data1/extri_old.yml,subjects/p001/sensor_data/p001__Pliers_g3__T01,subjects/p001/labels/p001__Pliers_g3__T01
p001__Pliers_g3__T02,ok,p001,p001/Pliers_g3/T02,119,Pliers,/data_usb/WristHOI_NO_Standardization/data1/extri_old.yml,subjects/p001/sensor_data/p001__Pliers_g3__T02,subjects/p001/labels/p001__Pliers_g3__T02
p001__Pliers_g3__T03,ok,p001,p001/Pliers_g3/T03,129,Pliers,/data_usb/WristHOI_NO_Standardization/data1/extri_old.yml,subjects/p001/sensor_data/p001__Pliers_g3__T03,subjects/p001/labels/p001__Pliers_g3__T03
p001__Pliers_g5__T01,ok,p001,p001/Pliers_g5/T01,120,Pliers,/data_usb/WristHOI_NO_Standardization/data1/extri_old.yml,subjects/p001/sensor_data/p001__Pliers_g5__T01,subjects/p001/labels/p001__Pliers_g5__T01
p001__Pliers_g5__T02,ok,p001,p001/Pliers_g5/T02,119,Pliers,/data_usb/WristHOI_NO_Standardization/data1/extri_old.yml,subjects/p001/sensor_data/p001__Pliers_g5__T02,subjects/p001/labels/p001__Pliers_g5__T02
p001__Pliers_g5__T03,ok,p001,p001/Pliers_g5/T03,134,Pliers,/data_usb/WristHOI_NO_Standardization/data1/extri_old.yml,subjects/p001/sensor_data/p001__Pliers_g5__T03,subjects/p001/labels/p001__Pliers_g5__T03
p001__PottedMeatCan_g2__T01,ok,p001,p001/PottedMeatCan_g2/T01,138,PottedMeatCan,/data_usb/WristHOI_NO_Standardization/data1/extri_old.yml,subjects/p001/sensor_data/p001__PottedMeatCan_g2__T01,subjects/p001/labels/p001__PottedMeatCan_g2__T01
p001__PottedMeatCan_g2__T02,ok,p001,p001/PottedMeatCan_g2/T02,115,PottedMeatCan,/data_usb/WristHOI_NO_Standardization/data1/extri_old.yml,subjects/p001/sensor_data/p001__PottedMeatCan_g2__T02,subjects/p001/labels/p001__PottedMeatCan_g2__T02
p001__PottedMeatCan_g2__T03,ok,p001,p001/PottedMeatCan_g2/T03,185,PottedMeatCan,/data_usb/WristHOI_NO_Standardization/data1/extri_old.yml,subjects/p001/sensor_data/p001__PottedMeatCan_g2__T03,subjects/p001/labels/p001__PottedMeatCan_g2__T03
p001__PottedMeatCan_g3__T01,ok,p001,p001/PottedMeatCan_g3/T01,165,PottedMeatCan,/data_usb/WristHOI_NO_Standardization/data1/extri_old.yml,subjects/p001/sensor_data/p001__PottedMeatCan_g3__T01,subjects/p001/labels/p001__PottedMeatCan_g3__T01
p001__PottedMeatCan_g3__T02,ok,p001,p001/PottedMeatCan_g3/T02,127,PottedMeatCan,/data_usb/WristHOI_NO_Standardization/data1/extri_old.yml,subjects/p001/sensor_data/p001__PottedMeatCan_g3__T02,subjects/p001/labels/p001__PottedMeatCan_g3__T02
p001__PottedMeatCan_g3__T03,ok,p001,p001/PottedMeatCan_g3/T03,167,PottedMeatCan,/data_usb/WristHOI_NO_Standardization/data1/extri_old.yml,subjects/p001/sensor_data/p001__PottedMeatCan_g3__T03,subjects/p001/labels/p001__PottedMeatCan_g3__T03
p001__PottedMeatCan_g5__T01,ok,p001,p001/PottedMeatCan_g5/T01,150,PottedMeatCan,/data_usb/WristHOI_NO_Standardization/data1/extri_old.yml,subjects/p001/sensor_data/p001__PottedMeatCan_g5__T01,subjects/p001/labels/p001__PottedMeatCan_g5__T01
p001__PottedMeatCan_g5__T02,ok,p001,p001/PottedMeatCan_g5/T02,118,PottedMeatCan,/data_usb/WristHOI_NO_Standardization/data1/extri_old.yml,subjects/p001/sensor_data/p001__PottedMeatCan_g5__T02,subjects/p001/labels/p001__PottedMeatCan_g5__T02
p001__PottedMeatCan_g5__T03,ok,p001,p001/PottedMeatCan_g5/T03,123,PottedMeatCan,/data_usb/WristHOI_NO_Standardization/data1/extri_old.yml,subjects/p001/sensor_data/p001__PottedMeatCan_g5__T03,subjects/p001/labels/p001__PottedMeatCan_g5__T03
p001__RectangularBox_g2__T01,ok,p001,p001/RectangularBox_g2/T01,134,RectangularBox,/data_usb/WristHOI_NO_Standardization/data1/extri_old.yml,subjects/p001/sensor_data/p001__RectangularBox_g2__T01,subjects/p001/labels/p001__RectangularBox_g2__T01
p001__RectangularBox_g2__T02,ok,p001,p001/RectangularBox_g2/T02,164,RectangularBox,/data_usb/WristHOI_NO_Standardization/data1/extri_old.yml,subjects/p001/sensor_data/p001__RectangularBox_g2__T02,subjects/p001/labels/p001__RectangularBox_g2__T02
p001__RectangularBox_g2__T03,ok,p001,p001/RectangularBox_g2/T03,113,RectangularBox,/data_usb/WristHOI_NO_Standardization/data1/extri_old.yml,subjects/p001/sensor_data/p001__RectangularBox_g2__T03,subjects/p001/labels/p001__RectangularBox_g2__T03
p001__RectangularBox_g3__T01,ok,p001,p001/RectangularBox_g3/T01,150,RectangularBox,/data_usb/WristHOI_NO_Standardization/data1/extri_old.yml,subjects/p001/sensor_data/p001__RectangularBox_g3__T01,subjects/p001/labels/p001__RectangularBox_g3__T01
p001__RectangularBox_g3__T02,ok,p001,p001/RectangularBox_g3/T02,116,RectangularBox,/data_usb/WristHOI_NO_Standardization/data1/extri_old.yml,subjects/p001/sensor_data/p001__RectangularBox_g3__T02,subjects/p001/labels/p001__RectangularBox_g3__T02
p001__RectangularBox_g3__T03,ok,p001,p001/RectangularBox_g3/T03,191,RectangularBox,/data_usb/WristHOI_NO_Standardization/data1/extri_old.yml,subjects/p001/sensor_data/p001__RectangularBox_g3__T03,subjects/p001/labels/p001__RectangularBox_g3__T03
p001__RectangularBox_g5__T01,ok,p001,p001/RectangularBox_g5/T01,125,RectangularBox,/data_usb/WristHOI_NO_Standardization/data1/extri_old.yml,subjects/p001/sensor_data/p001__RectangularBox_g5__T01,subjects/p001/labels/p001__RectangularBox_g5__T01
p001__RectangularBox_g5__T02,ok,p001,p001/RectangularBox_g5/T02,188,RectangularBox,/data_usb/WristHOI_NO_Standardization/data1/extri_old.yml,subjects/p001/sensor_data/p001__RectangularBox_g5__T02,subjects/p001/labels/p001__RectangularBox_g5__T02
p001__RectangularBox_g5__T03,ok,p001,p001/RectangularBox_g5/T03,117,RectangularBox,/data_usb/WristHOI_NO_Standardization/data1/extri_old.yml,subjects/p001/sensor_data/p001__RectangularBox_g5__T03,subjects/p001/labels/p001__RectangularBox_g5__T03
p001__ShortCylinder_g2__T01,ok,p001,p001/ShortCylinder_g2/T01,154,ShortCylinder,/data_usb/WristHOI_NO_Standardization/data1/extri_old.yml,subjects/p001/sensor_data/p001__ShortCylinder_g2__T01,subjects/p001/labels/p001__ShortCylinder_g2__T01
p001__ShortCylinder_g2__T02,ok,p001,p001/ShortCylinder_g2/T02,146,ShortCylinder,/data_usb/WristHOI_NO_Standardization/data1/extri_old.yml,subjects/p001/sensor_data/p001__ShortCylinder_g2__T02,subjects/p001/labels/p001__ShortCylinder_g2__T02
p001__ShortCylinder_g2__T03,ok,p001,p001/ShortCylinder_g2/T03,111,ShortCylinder,/data_usb/WristHOI_NO_Standardization/data1/extri_old.yml,subjects/p001/sensor_data/p001__ShortCylinder_g2__T03,subjects/p001/labels/p001__ShortCylinder_g2__T03
p001__ShortCylinder_g3__T01,ok,p001,p001/ShortCylinder_g3/T01,130,ShortCylinder,/data_usb/WristHOI_NO_Standardization/data1/extri_old.yml,subjects/p001/sensor_data/p001__ShortCylinder_g3__T01,subjects/p001/labels/p001__ShortCylinder_g3__T01
p001__ShortCylinder_g3__T02,ok,p001,p001/ShortCylinder_g3/T02,124,ShortCylinder,/data_usb/WristHOI_NO_Standardization/data1/extri_old.yml,subjects/p001/sensor_data/p001__ShortCylinder_g3__T02,subjects/p001/labels/p001__ShortCylinder_g3__T02
p001__ShortCylinder_g3__T03,ok,p001,p001/ShortCylinder_g3/T03,141,ShortCylinder,/data_usb/WristHOI_NO_Standardization/data1/extri_old.yml,subjects/p001/sensor_data/p001__ShortCylinder_g3__T03,subjects/p001/labels/p001__ShortCylinder_g3__T03
p001__ShortCylinder_g5__T01,ok,p001,p001/ShortCylinder_g5/T01,119,ShortCylinder,/data_usb/WristHOI_NO_Standardization/data1/extri_old.yml,subjects/p001/sensor_data/p001__ShortCylinder_g5__T01,subjects/p001/labels/p001__ShortCylinder_g5__T01
p001__ShortCylinder_g5__T02,ok,p001,p001/ShortCylinder_g5/T02,141,ShortCylinder,/data_usb/WristHOI_NO_Standardization/data1/extri_old.yml,subjects/p001/sensor_data/p001__ShortCylinder_g5__T02,subjects/p001/labels/p001__ShortCylinder_g5__T02
p001__ShortCylinder_g5__T03,ok,p001,p001/ShortCylinder_g5/T03,114,ShortCylinder,/data_usb/WristHOI_NO_Standardization/data1/extri_old.yml,subjects/p001/sensor_data/p001__ShortCylinder_g5__T03,subjects/p001/labels/p001__ShortCylinder_g5__T03
p001__Spoon_g2__T01,ok,p001,p001/Spoon_g2/T01,125,Spoon,/data_usb/WristHOI_NO_Standardization/data1/extri_old.yml,subjects/p001/sensor_data/p001__Spoon_g2__T01,subjects/p001/labels/p001__Spoon_g2__T01
p001__Spoon_g2__T02,ok,p001,p001/Spoon_g2/T02,121,Spoon,/data_usb/WristHOI_NO_Standardization/data1/extri_old.yml,subjects/p001/sensor_data/p001__Spoon_g2__T02,subjects/p001/labels/p001__Spoon_g2__T02
p001__Spoon_g2__T03,ok,p001,p001/Spoon_g2/T03,115,Spoon,/data_usb/WristHOI_NO_Standardization/data1/extri_old.yml,subjects/p001/sensor_data/p001__Spoon_g2__T03,subjects/p001/labels/p001__Spoon_g2__T03
p001__Spoon_g3__T01,ok,p001,p001/Spoon_g3/T01,126,Spoon,/data_usb/WristHOI_NO_Standardization/data1/extri_old.yml,subjects/p001/sensor_data/p001__Spoon_g3__T01,subjects/p001/labels/p001__Spoon_g3__T01
p001__Spoon_g3__T02,ok,p001,p001/Spoon_g3/T02,120,Spoon,/data_usb/WristHOI_NO_Standardization/data1/extri_old.yml,subjects/p001/sensor_data/p001__Spoon_g3__T02,subjects/p001/labels/p001__Spoon_g3__T02
p001__Spoon_g3__T03,ok,p001,p001/Spoon_g3/T03,117,Spoon,/data_usb/WristHOI_NO_Standardization/data1/extri_old.yml,subjects/p001/sensor_data/p001__Spoon_g3__T03,subjects/p001/labels/p001__Spoon_g3__T03
p001__Spoon_g5__T01,ok,p001,p001/Spoon_g5/T01,232,Spoon,/data_usb/WristHOI_NO_Standardization/data1/extri_old.yml,subjects/p001/sensor_data/p001__Spoon_g5__T01,subjects/p001/labels/p001__Spoon_g5__T01
p001__Spoon_g5__T02,ok,p001,p001/Spoon_g5/T02,117,Spoon,/data_usb/WristHOI_NO_Standardization/data1/extri_old.yml,subjects/p001/sensor_data/p001__Spoon_g5__T02,subjects/p001/labels/p001__Spoon_g5__T02
